"","State","Total_App","In_State_App","Total_Enroll","In_State_Enroll","Total_Adm_Rate","In_State_Adm_Rate","School_Name_2021_Standard","year"
"54","CA",3200,1255,139,106,0.0434375,0.0844621513944223,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2009
"58","CA",2309,1095,73,52,0.0316154179298398,0.0474885844748858,"Western University of Health Sciences College of Dental Medicine",2009
"510","CA",2137,776,102,55,0.0477304632662611,0.0708762886597938,"Loma Linda University School of Dentistry",2010
"61","CA",1883,1052,88,75,0.0467339352097716,0.0712927756653992,"University of California, Los Angeles, School of Dentistry",2010
"71","CA",1755,961,88,70,0.0501424501424501,0.072840790842872,"University of California, San Francisco, School of Dentistry",2010
"81","CA",3062,1210,133,105,0.0434356629653821,0.0867768595041322,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2010
"91","CA",3231,1179,144,95,0.0445682451253482,0.0805767599660729,"Herman Ostrow School of Dentistry of USC",2010
"101","CA",2534,1093,72,42,0.0284135753749013,0.0384263494967978,"Western University of Health Sciences College of Dental Medicine",2010
"512","CA",1770,930,88,76,0.0497175141242938,0.0817204301075269,"University of California, Los Angeles, School of Dentistry",2011
"63","CA",1765,1002,89,63,0.0504249291784703,0.062874251497006,"University of California, San Francisco, School of Dentistry",2011
"72","CA",1955,718,99,50,0.0506393861892583,0.0696378830083565,"Loma Linda University School of Dentistry",2011
"82","CA",3617,1240,141,98,0.0389825822504838,0.0790322580645161,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2011
"92","CA",3316,1204,144,96,0.0434258142340169,0.079734219269103,"Herman Ostrow School of Dentistry of USC",2011
"102","CA",2494,1093,74,41,0.0296712109061748,0.0375114364135407,"Western University of Health Sciences College of Dental Medicine",2011
"514","CA",1987,1080,88,82,0.0442878711625566,0.0759259259259259,"University of California, Los Angeles, School of Dentistry",2012
"64","CA",1808,947,87,72,0.0481194690265487,0.0760295670538543,"University of California, San Francisco, School of Dentistry",2012
"73","CA",2029,732,94,51,0.0463282405125678,0.069672131147541,"Loma Linda University School of Dentistry",2012
"83","CA",3164,1212,137,104,0.043299620733249,0.0858085808580858,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2012
"93","CA",3515,1251,137,102,0.0389758179231863,0.0815347721822542,"Herman Ostrow School of Dentistry of USC",2012
"103","CA",2691,1142,67,41,0.0248978075065032,0.0359019264448336,"Western University of Health Sciences College of Dental Medicine",2012
"516","CA",1771,657,88,46,0.0496894409937888,0.0700152207001522,"Loma Linda University School of Dentistry",2013
"67","CA",2967,940,140,82,0.047185709470846,0.0872340425531915,"University of California, Los Angeles, School of Dentistry",2013
"74","CA",1962,897,89,72,0.045361875637105,0.0802675585284281,"University of California, San Francisco, School of Dentistry",2013
"84","CA",3329,1130,144,90,0.0432562331030339,0.079646017699115,"Herman Ostrow School of Dentistry of USC",2013
"94","CA",1874,1106,87,108,0.0464247598719317,0.0976491862567812,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2013
"518","CA",1671,622,99,47,0.059245960502693,0.0755627009646302,"Loma Linda University School of Dentistry",2014
"68","CA",1714,934,87,78,0.0507584597432905,0.0835117773019272,"University of California, Los Angeles, School of Dentistry",2014
"75","CA",1966,902,88,67,0.0447609359104781,0.0742793791574279,"University of California, San Francisco, School of Dentistry",2014
"85","CA",3121,1118,145,95,0.0464594681191926,0.0849731663685152,"Herman Ostrow School of Dentistry of USC",2014
"95","CA",2791,1091,139,112,0.0498029380150484,0.102658111824015,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2014
"520","CA",1697,641,98,55,0.0577489687684149,0.0858034321372855,"Loma Linda University School of Dentistry",2015
"69","CA",1769,947,87,75,0.0491803278688525,0.0791974656810982,"University of California, Los Angeles, School of Dentistry",2015
"76","CA",1934,918,91,70,0.047052740434333,0.0762527233115468,"University of California, San Francisco, School of Dentistry",2015
"86","CA",3098,1153,142,104,0.0458360232408005,0.0901994796183868,"Herman Ostrow School of Dentistry of USC",2015
"96","CA",2769,1100,139,108,0.0501986276634164,0.0981818181818182,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2015
"106","CA",2576,1091,68,40,0.0263975155279503,0.0366636113657195,"Western University of Health Sciences College of Dental Medicine",2015
"527","CA",3038,1172,142,116,0.0467412771560237,0.0989761092150171,"Herman Ostrow School of Dentistry of USC",2016
"610","CA",1684,620,103,56,0.0611638954869359,0.0903225806451613,"Loma Linda University School of Dentistry",2016
"77","CA",1811,953,87,76,0.0480397570403092,0.0797481636935992,"University of California, Los Angeles, School of Dentistry",2016
"87","CA",2114,984,90,74,0.0425733207190161,0.0752032520325203,"University of California, San Francisco, School of Dentistry",2016
"97","CA",2601,1122,142,109,0.0545943867743176,0.0971479500891266,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2016
"107","CA",2843,1130,69,38,0.0242701371790362,0.0336283185840708,"Western University of Health Sciences College of Dental Medicine",2016
"529","CA",2852,1124,144,112,0.0504908835904628,0.099644128113879,"Herman Ostrow School of Dentistry of USC",2017
"617","CA",1632,590,102,67,0.0625,0.113559322033898,"Loma Linda University School of Dentistry",2017
"78","CA",1772,881,88,70,0.0496613995485327,0.0794551645856981,"University of California, Los Angeles, School of Dentistry",2017
"88","CA",2022,928,86,65,0.0425321463897132,0.0700431034482759,"University of California, San Francisco, School of Dentistry",2017
"98","CA",2364,1043,142,116,0.0600676818950931,0.111217641418984,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2017
"108","CA",2995,1117,69,42,0.0230383973288815,0.0376007162041182,"Western University of Health Sciences College of Dental Medicine",2017
"530","CA",2953,1133,144,112,0.0487639688452421,0.0988526037069726,"Herman Ostrow School of Dentistry of USC",2018
"619","CA",1540,580,99,58,0.0642857142857143,0.1,"Loma Linda University School of Dentistry",2018
"79","CA",1429,761,88,63,0.0615815255423373,0.0827858081471748,"University of California, Los Angeles, School of Dentistry",2018
"89","CA",1533,836,89,74,0.0580560991519896,0.0885167464114833,"University of California, San Francisco, School of Dentistry",2018
"99","CA",2303,1077,144,110,0.0625271385149805,0.10213556174559,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2018
"109","CA",3233,1109,69,44,0.021342406433653,0.0396753832281335,"Western University of Health Sciences College of Dental Medicine",2018
"540","CA",2342,983,144,107,0.0614859094790777,0.108850457782299,"Herman Ostrow School of Dentistry of USC",2019
"620","CA",1390,529,100,55,0.0719424460431655,0.103969754253308,"Loma Linda University School of Dentistry",2019
"710","CA",1292,671,88,77,0.0681114551083591,0.114754098360656,"University of California, Los Angeles, School of Dentistry",2019
"810","CA",1401,706,88,61,0.0628122769450393,0.0864022662889518,"University of California, San Francisco, School of Dentistry",2019
"910","CA",2126,954,144,113,0.0677328316086547,0.118448637316562,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2019
"1010","CA",2947,1000,70,39,0.0237529691211401,0.039,"Western University of Health Sciences College of Dental Medicine",2019
"550","CA",1200,481,100,56,0.0833333333333333,0.116424116424116,"Loma Linda University School of Dentistry",2020
"629","CA",1384,684,88,81,0.0635838150289017,0.118421052631579,"University of California, Los Angeles, School of Dentistry",2020
"711","CA",1357,692,90,57,0.0663227708179808,0.0823699421965318,"University of California, San Francisco, School of Dentistry",2020
"811","CA",2346,939,144,91,0.061381074168798,0.0969116080937167,"Herman Ostrow School of Dentistry of USC",2020
"911","CA",2076,899,146,107,0.0703275529865125,0.119021134593993,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2020
"1011","CA",2855,985,70,43,0.0245183887915937,0.0436548223350254,"Western University of Health Sciences College of Dental Medicine",2020
"560","CA",2443,992,144,117,0.0589439214081048,0.117943548387097,"Herman Ostrow School of Dentistry of USC",2021
"630","CA",1420,565,99,59,0.0697183098591549,0.104424778761062,"Loma Linda University School of Dentistry",2021
"712","CA",1792,846,88,79,0.0491071428571429,0.0933806146572104,"University of California, Los Angeles, School of Dentistry",2021
"812","CA",1531,781,60,38,0.0391900718484651,0.0486555697823303,"University of California, San Francisco, School of Dentistry",2021
"912","CA",2184,1003,144,110,0.0659340659340659,0.109670987038883,"University of the Pacific, Arthur A. Dugoni School of Dentistry",2021
"1012","CA",2967,1046,69,41,0.0232558139534884,0.0391969407265774,"Western University of Health Sciences College of Dental Medicine",2021
"29","CO",1533,153,48,27,0.0313111545988258,0.176470588235294,"University of Colorado School of Dental Medicine",2009
"111","CO",1265,140,51,30,0.0403162055335968,0.214285714285714,"University of Colorado School of Dental Medicine",2010
"112","CO",1333,152,79,47,0.059264816204051,0.309210526315789,"University of Colorado School of Dental Medicine",2011
"113","CO",1558,148,80,44,0.0513478818998716,0.297297297297297,"University of Colorado School of Dental Medicine",2012
"104","CO",3016,149,141,50,0.0467506631299735,0.335570469798658,"University of Colorado School of Dental Medicine",2013
"105","CO",1607,132,79,50,0.0491599253266957,0.378787878787879,"University of Colorado School of Dental Medicine",2014
"116","CO",1764,142,79,43,0.0447845804988662,0.302816901408451,"University of Colorado School of Dental Medicine",2015
"117","CO",1967,126,80,51,0.0406710726995424,0.404761904761905,"University of Colorado School of Dental Medicine",2016
"118","CO",2045,162,80,49,0.039119804400978,0.302469135802469,"University of Colorado School of Dental Medicine",2017
"119","CO",2008,140,80,42,0.0398406374501992,0.3,"University of Colorado School of Dental Medicine",2018
"1110","CO",2144,121,80,47,0.0373134328358209,0.388429752066116,"University of Colorado School of Dental Medicine",2019
"1111","CO",2114,113,80,44,0.0378429517502365,0.389380530973451,"University of Colorado School of Dental Medicine",2020
"1112","CO",2292,142,80,45,0.0349040139616056,0.316901408450704,"University of Colorado School of Dental Medicine",2021
"30","CT",1410,81,41,25,0.0290780141843972,0.308641975308642,"University of Connecticut School of Dental Medicine",2009
"121","CT",1189,74,43,22,0.0361648444070648,0.297297297297297,"University of Connecticut School of Dental Medicine",2010
"122","CT",1172,72,45,23,0.0383959044368601,0.319444444444444,"University of Connecticut School of Dental Medicine",2011
"123","CT",1236,93,40,24,0.0323624595469256,0.258064516129032,"University of Connecticut School of Dental Medicine",2012
"114","CT",1491,90,80,22,0.0536552649228706,0.244444444444444,"University of Connecticut School of Dental Medicine",2013
"115","CT",1242,76,46,22,0.037037037037037,0.289473684210526,"University of Connecticut School of Dental Medicine",2014
"126","CT",1356,93,42,24,0.0309734513274336,0.258064516129032,"University of Connecticut School of Dental Medicine",2015
"127","CT",1415,89,49,32,0.0346289752650177,0.359550561797753,"University of Connecticut School of Dental Medicine",2016
"128","CT",1507,91,48,27,0.0318513603185136,0.296703296703297,"University of Connecticut School of Dental Medicine",2017
"129","CT",1466,73,48,23,0.0327421555252387,0.315068493150685,"University of Connecticut School of Dental Medicine",2018
"1210","CT",1296,87,53,25,0.0408950617283951,0.28735632183908,"University of Connecticut School of Dental Medicine",2019
"1211","CT",1229,87,50,29,0.0406834825061025,0.333333333333333,"University of Connecticut School of Dental Medicine",2020
"1212","CT",1333,98,51,30,0.0382595648912228,0.306122448979592,"University of Connecticut School of Dental Medicine",2021
"8","DC",2563,10,73,3,0.0284822473663675,0.3,"Howard University College of Dentistry",2009
"131","DC",2206,9,71,2,0.0321849501359927,0.222222222222222,"Howard University College of Dentistry",2010
"132","DC",2160,6,68,1,0.0314814814814815,0.166666666666667,"Howard University College of Dentistry",2011
"133","DC",2386,7,75,2,0.0314333612740989,0.285714285714286,"Howard University College of Dentistry",2012
"124","DC",1311,6,43,0,0.0327993897787948,0,"Howard University College of Dentistry",2013
"125","DC",2079,4,72,0,0.0346320346320346,0,"Howard University College of Dentistry",2014
"136","DC",1983,6,77,3,0.0388300554715078,0.5,"Howard University College of Dentistry",2015
"137","DC",2123,7,70,1,0.0329722091380122,0.142857142857143,"Howard University College of Dentistry",2016
"138","DC",2249,4,74,2,0.0329035126722988,0.5,"Howard University College of Dentistry",2017
"139","DC",1987,4,68,1,0.0342224458983392,0.25,"Howard University College of Dentistry",2018
"1310","DC",1023,4,68,2,0.0664711632453568,0.5,"Howard University College of Dentistry",2019
"1311","DC",961,1,65,0,0.0676378772112383,0,"Howard University College of Dentistry",2020
"1312","DC",1075,7,68,2,0.0632558139534884,0.285714285714286,"Howard University College of Dentistry",2021
"18","FL",3406,551,97,44,0.0284791544333529,0.0798548094373866,"Nova Southeastern University College of Dental Medicine",2009
"32","FL",1394,519,82,69,0.0588235294117647,0.132947976878613,"University of Florida College of Dentistry",2009
"141","FL",3293,576,95,56,0.028849073792894,0.0972222222222222,"Nova Southeastern University College of Dental Medicine",2010
"151","FL",1487,568,83,76,0.0558170813718897,0.133802816901408,"University of Florida College of Dentistry",2010
"142","FL",3015,523,100,55,0.033167495854063,0.105162523900574,"Nova Southeastern University College of Dental Medicine",2011
"152","FL",1430,499,82,75,0.0573426573426573,0.150300601202405,"University of Florida College of Dentistry",2011
"143","FL",3098,618,104,65,0.0335700451904455,0.105177993527508,"Nova Southeastern University College of Dental Medicine",2012
"153","FL",1526,617,82,76,0.053735255570118,0.123176661264182,"University of Florida College of Dentistry",2012
"134","FL",2070,588,73,60,0.0352657004830918,0.102040816326531,"Nova Southeastern University College of Dental Medicine",2013
"144","FL",2648,595,108,88,0.040785498489426,0.147899159663866,"University of Florida College of Dentistry",2013
"135","FL",2644,511,115,61,0.0434947049924357,0.119373776908023,"Nova Southeastern University College of Dental Medicine",2014
"145","FL",1340,532,91,86,0.067910447761194,0.161654135338346,"University of Florida College of Dentistry",2014
"146","FL",3195,538,101,42,0.0316118935837246,0.0780669144981413,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2015
"156","FL",2890,586,119,66,0.0411764705882353,0.112627986348123,"Nova Southeastern University College of Dental Medicine",2015
"166","FL",1486,579,93,84,0.0625841184387618,0.145077720207254,"University of Florida College of Dentistry",2015
"147","FL",3492,570,100,54,0.0286368843069874,0.0947368421052632,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2016
"157","FL",3168,631,120,78,0.0378787878787879,0.123613312202853,"Nova Southeastern University College of Dental Medicine",2016
"167","FL",1461,603,93,89,0.0636550308008214,0.14759535655058,"University of Florida College of Dentistry",2016
"148","FL",3312,551,105,31,0.0317028985507246,0.0562613430127042,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2017
"158","FL",3221,611,118,72,0.0366345855324433,0.117839607201309,"Nova Southeastern University College of Dental Medicine",2017
"168","FL",1516,577,93,85,0.0613456464379947,0.147313691507799,"University of Florida College of Dentistry",2017
"149","FL",3343,586,105,38,0.031408914148968,0.0648464163822526,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2018
"159","FL",3168,691,118,82,0.0372474747474747,0.118668596237337,"Nova Southeastern University College of Dental Medicine",2018
"169","FL",1593,664,93,86,0.0583804143126177,0.129518072289157,"University of Florida College of Dentistry",2018
"1410","FL",3470,636,105,52,0.0302593659942363,0.0817610062893082,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2019
"1510","FL",2818,726,118,96,0.0418736692689851,0.132231404958678,"Nova Southeastern University College of Dental Medicine",2019
"1610","FL",1549,682,93,87,0.0600387346675274,0.127565982404692,"University of Florida College of Dentistry",2019
"1411","FL",3330,630,105,36,0.0315315315315315,0.0571428571428571,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2020
"1511","FL",2280,651,122,96,0.0535087719298246,0.147465437788018,"Nova Southeastern University College of Dental Medicine",2020
"1611","FL",1464,652,93,82,0.0635245901639344,0.125766871165644,"University of Florida College of Dentistry",2020
"1412","FL",3599,670,105,27,0.0291747707696582,0.0402985074626866,"Lake Erie College of Osteopathic Medicine School of Dental Medicine",2021
"1512","FL",2282,665,126,81,0.0552147239263804,0.121804511278195,"Nova Southeastern University College of Dental Medicine",2021
"1612","FL",1553,685,93,89,0.0598840952994205,0.12992700729927,"University of Florida College of Dentistry",2021
"13","GA",294,288,65,64,0.22108843537415,0.222222222222222,"Dental College of Georgia at Augusta University",2009
"161","GA",306,290,69,67,0.225490196078431,0.231034482758621,"Dental College of Georgia at Augusta University",2010
"162","GA",327,311,80,80,0.244648318042813,0.257234726688103,"Dental College of Georgia at Augusta University",2011
"163","GA",NA,NA,79,75,NA,NA,"Dental College of Georgia at Augusta University",2012
"154","GA",775,332,20,78,0.0258064516129032,0.234939759036145,"Dental College of Georgia at Augusta University",2013
"155","GA",882,332,85,77,0.0963718820861678,0.231927710843373,"Dental College of Georgia at Augusta University",2014
"176","GA",815,313,88,78,0.107975460122699,0.249201277955272,"Dental College of Georgia at Augusta University",2015
"177","GA",944,315,90,84,0.0953389830508475,0.266666666666667,"Dental College of Georgia at Augusta University",2016
"178","GA",1002,343,95,87,0.094810379241517,0.253644314868805,"Dental College of Georgia at Augusta University",2017
"179","GA",695,268,93,85,0.133812949640288,0.317164179104478,"Dental College of Georgia at Augusta University",2018
"1710","GA",773,273,95,87,0.122897800776197,0.318681318681319,"Dental College of Georgia at Augusta University",2019
"1711","GA",852,302,95,86,0.11150234741784,0.28476821192053,"Dental College of Georgia at Augusta University",2020
"1712","GA",857,274,93,82,0.108518086347725,0.299270072992701,"Dental College of Georgia at Augusta University",2021
"34","IA",995,111,77,46,0.0773869346733668,0.414414414414414,"The University of Iowa College of Dentistry & Dental Clinics",2009
"171","IA",948,119,80,57,0.0843881856540084,0.478991596638655,"The University of Iowa College of Dentistry & Dental Clinics",2010
"172","IA",973,108,81,57,0.0832476875642343,0.527777777777778,"The University of Iowa College of Dentistry & Dental Clinics",2011
"173","IA",943,126,80,57,0.0848356309650053,0.452380952380952,"The University of Iowa College of Dentistry & Dental Clinics",2012
"164","IA",2835,118,130,58,0.0458553791887125,0.491525423728814,"The University of Iowa College of Dentistry & Dental Clinics",2013
"165","IA",935,108,80,55,0.0855614973262032,0.509259259259259,"The University of Iowa College of Dentistry & Dental Clinics",2014
"226","IA",837,104,80,56,0.0955794504181601,0.538461538461538,"The University of Iowa College of Dentistry & Dental Clinics",2015
"187","IA",881,107,80,58,0.0908059023836549,0.542056074766355,"The University of Iowa College of Dentistry & Dental Clinics",2016
"188","IA",877,91,80,56,0.0912200684150513,0.615384615384615,"The University of Iowa College of Dentistry & Dental Clinics",2017
"189","IA",769,94,80,55,0.104031209362809,0.585106382978723,"The University of Iowa College of Dentistry & Dental Clinics",2018
"1810","IA",825,104,80,55,0.096969696969697,0.528846153846154,"The University of Iowa College of Dentistry & Dental Clinics",2019
"2213","IA",865,97,82,54,0.0947976878612717,0.556701030927835,"The University of Iowa College of Dentistry & Dental Clinics",2020
"1812","IA",859,95,80,52,0.0931315483119907,0.547368421052632,"The University of Iowa College of Dentistry & Dental Clinics",2021
"19","IL",978,382,49,45,0.0501022494887526,0.117801047120419,"Southern Illinois University School of Dental Medicine",2009
"33","IL",1656,395,68,57,0.0410628019323672,0.144303797468354,"University of Illinois Chicago College of Dentistry",2009
"181","IL",954,433,51,50,0.0534591194968553,0.115473441108545,"Southern Illinois University School of Dental Medicine",2010
"191","IL",1702,464,68,62,0.0399529964747356,0.133620689655172,"University of Illinois Chicago College of Dentistry",2010
"182","IL",1961,377,130,50,0.0662927078021418,0.13262599469496,"Midwestern University College of Dental Medicine-Illinois",2011
"192","IL",1531,428,68,62,0.0444154147615937,0.144859813084112,"University of Illinois Chicago College of Dentistry",2011
"202","IL",858,382,49,48,0.0571095571095571,0.12565445026178,"Southern Illinois University School of Dental Medicine",2011
"183","IL",2426,381,130,47,0.0535861500412201,0.123359580052493,"Midwestern University College of Dental Medicine-Illinois",2012
"193","IL",1648,455,68,62,0.0412621359223301,0.136263736263736,"University of Illinois Chicago College of Dentistry",2012
"203","IL",857,399,51,51,0.05950991831972,0.12781954887218,"Southern Illinois University School of Dental Medicine",2012
"174","IL",1215,384,87,48,0.0716049382716049,0.125,"Midwestern University College of Dental Medicine-Illinois",2013
"184","IL",790,392,80,49,0.10126582278481,0.125,"Southern Illinois University School of Dental Medicine",2013
"194","IL",1430,444,93,50,0.065034965034965,0.112612612612613,"University of Illinois Chicago College of Dentistry",2013
"175","IL",2938,356,130,49,0.0442477876106195,0.137640449438202,"Midwestern University College of Dental Medicine-Illinois",2014
"185","IL",814,359,50,48,0.0614250614250614,0.133704735376045,"Southern Illinois University School of Dental Medicine",2014
"195","IL",460,414,50,50,0.108695652173913,0.120772946859903,"University of Illinois Chicago College of Dentistry",2014
"186","IL",2822,359,130,47,0.0460666194188519,0.13091922005571,"Midwestern University College of Dental Medicine-Illinois",2015
"196","IL",812,340,50,49,0.061576354679803,0.144117647058824,"Southern Illinois University School of Dental Medicine",2015
"206","IL",456,406,52,51,0.114035087719298,0.125615763546798,"University of Illinois Chicago College of Dentistry",2015
"197","IL",3105,354,130,44,0.0418679549114332,0.124293785310734,"Midwestern University College of Dental Medicine-Illinois",2016
"207","IL",847,350,49,46,0.0578512396694215,0.131428571428571,"Southern Illinois University School of Dental Medicine",2016
"2111","IL",1200,399,72,68,0.06,0.170426065162907,"University of Illinois Chicago College of Dentistry",2016
"198","IL",2886,360,130,40,0.045045045045045,0.111111111111111,"Midwestern University College of Dental Medicine-Illinois",2017
"208","IL",877,381,50,50,0.0570125427594071,0.131233595800525,"Southern Illinois University School of Dental Medicine",2017
"2112","IL",1225,408,70,68,0.0571428571428571,0.166666666666667,"University of Illinois Chicago College of Dentistry",2017
"199","IL",2197,311,131,36,0.0596267637687756,0.115755627009646,"Midwestern University College of Dental Medicine-Illinois",2018
"209","IL",629,319,50,45,0.0794912559618442,0.141065830721003,"Southern Illinois University School of Dental Medicine",2018
"2113","IL",1417,388,70,68,0.0494001411432604,0.175257731958763,"University of Illinois Chicago College of Dentistry",2018
"1910","IL",2205,327,134,37,0.0607709750566893,0.113149847094801,"Midwestern University College of Dental Medicine-Illinois",2019
"2010","IL",613,326,50,45,0.0815660685154976,0.138036809815951,"Southern Illinois University School of Dental Medicine",2019
"2114","IL",1306,425,70,68,0.0535987748851455,0.16,"University of Illinois Chicago College of Dentistry",2019
"1811","IL",2346,359,140,47,0.0596760443307758,0.13091922005571,"Midwestern University College of Dental Medicine-Illinois",2020
"1911","IL",632,337,50,42,0.0791139240506329,0.124629080118694,"Southern Illinois University School of Dental Medicine",2020
"2011","IL",1300,424,66,63,0.0507692307692308,0.148584905660377,"University of Illinois Chicago College of Dentistry",2020
"1912","IL",2536,395,139,27,0.0548107255520505,0.0683544303797468,"Midwestern University College of Dental Medicine-Illinois",2021
"2012","IL",645,336,50,42,0.0775193798449612,0.125,"Southern Illinois University School of Dental Medicine",2021
"2116","IL",1346,440,70,67,0.0520059435364042,0.152272727272727,"University of Illinois Chicago College of Dentistry",2021
"9","IN",1784,170,100,63,0.0560538116591928,0.370588235294118,"Indiana University School of Dentistry",2009
"201","IN",1667,190,100,71,0.0599880023995201,0.373684210526316,"Indiana University School of Dentistry",2010
