"","area","st","occ_code","occ_title","tot_emp","h_mean","a_mean","h_median","a_median","year","State","Est_Population"
"77","25","MA",1141,"registered nurses",77180,23.66,49200,22.98,47800,1999,"Massachusetts",6317345
"78","25","MA",2021,"dental hygienists",1450,23.9,49710,23.53,48940,1999,"Massachusetts",6317345
"79","26","MI",1020,"dentists",2870,60.19,125190,NA,NA,1999,"Michigan",9897116
"80","26","MI",1062,"family and general practitioners",6620,62.59,130200,NA,NA,1999,"Michigan",9897116
"81","26","MI",1141,"registered nurses",82200,21.88,45500,21.42,44560,1999,"Michigan",9897116
"82","26","MI",2021,"dental hygienists",NA,21.06,43800,21.44,44590,1999,"Michigan",9897116
"83","27","MN",1020,"dentists",1810,57.19,118950,NA,NA,1999,"Minnesota",4873481
"84","27","MN",1062,"family and general practitioners",2660,57.37,119330,61.09,127060,1999,"Minnesota",4873481
"85","27","MN",1141,"registered nurses",44540,23.39,48650,22.47,46750,1999,"Minnesota",4873481
"86","27","MN",2021,"dental hygienists",4380,24.79,51560,23.82,49550,1999,"Minnesota",4873481
"87","28","MS",1020,"dentists",NA,52.34,108870,65.55,136350,1999,"Mississippi",2828408
"88","28","MS",1062,"family and general practitioners",840,46.56,96850,48.83,101560,1999,"Mississippi",2828408
"89","28","MS",1141,"registered nurses",22510,19.2,39940,18.16,37770,1999,"Mississippi",2828408
"90","28","MS",2021,"dental hygienists",1060,15.07,31340,13.99,29100,1999,"Mississippi",2828408
"91","29","MO",1062,"family and general practitioners",4030,51.55,107230,57.7,120010,1999,"Missouri",5561948
"92","29","MO",1141,"registered nurses",53250,18.92,39360,18.28,38010,1999,"Missouri",5561948
"93","29","MO",2021,"dental hygienists",930,19.82,41230,20.94,43550,1999,"Missouri",5561948
"94","30","MT",1062,"family and general practitioners",470,52.03,108220,52.79,109800,1999,"Montana",897507
"95","30","MT",1141,"registered nurses",8070,17.61,36640,17.28,35940,1999,"Montana",897507
"96","30","MT",2021,"dental hygienists",30,26.64,55410,25.5,53050,1999,"Montana",897507
"97","31","NE",1062,"family and general practitioners",810,57.21,119000,64.34,133830,1999,"Nebraska",1704764
"98","31","NE",1141,"registered nurses",15180,18.07,37590,17.86,37140,1999,"Nebraska",1704764
"99","31","NE",2021,"dental hygienists",820,22.18,46130,22,45760,1999,"Nebraska",1704764
"100","32","NV",1062,"family and general practitioners",370,59.15,123020,62.69,130390,1999,"Nevada",1934718
"101","32","NV",1141,"registered nurses",9810,23.05,47930,22.58,46960,1999,"Nevada",1934718
"102","32","NV",2021,"dental hygienists",NA,27.81,57840,28.69,59680,1999,"Nevada",1934718
"103","33","NH",1020,"dentists",550,50.83,105730,52.9,110030,1999,"New Hampshire",1222014
"104","33","NH",1062,"family and general practitioners",NA,48.33,100520,53.51,111300,1999,"New Hampshire",1222014
"105","33","NH",1141,"registered nurses",11990,18.89,39290,18.37,38220,1999,"New Hampshire",1222014
"106","33","NH",2021,"dental hygienists",1110,23.03,47900,22.95,47740,1999,"New Hampshire",1222014
"107","34","NJ",1020,"dentists",NA,53.2,110660,58.91,122540,1999,"New Jersey",8359592
"108","34","NJ",1062,"family and general practitioners",8820,64.28,133690,NA,NA,1999,"New Jersey",8359592
"109","34","NJ",1141,"registered nurses",76630,24.46,50880,23.74,49380,1999,"New Jersey",8359592
"110","34","NJ",2021,"dental hygienists",2010,26.33,54770,26.79,55710,1999,"New Jersey",8359592
"111","35","NM",1020,"dentists",330,53.16,110570,58.33,121320,1999,"New Mexico",1808082
"112","35","NM",1062,"family and general practitioners",1460,53.61,111510,57.34,119270,1999,"New Mexico",1808082
"113","35","NM",1141,"registered nurses",7760,19.34,40220,18.78,39070,1999,"New Mexico",1808082
"114","35","NM",2021,"dental hygienists",680,26.5,55130,26.88,55920,1999,"New Mexico",1808082
"115","36","NY",1062,"family and general practitioners",7520,45.87,95420,49.93,103850,1999,"New York",18882725
"116","36","NY",1141,"registered nurses",160460,24.27,50470,23.33,48520,1999,"New York",18882725
"117","36","NY",2021,"dental hygienists",4150,22.88,47600,21.74,45220,1999,"New York",18882725
"118","37","NC",1020,"dentists",2680,55.8,116070,NA,NA,1999,"North Carolina",7949361
"119","37","NC",1062,"family and general practitioners",2580,53.89,112090,57.5,119610,1999,"North Carolina",7949361
"120","37","NC",1141,"registered nurses",56740,19.57,40700,18.92,39360,1999,"North Carolina",7949361
"121","37","NC",2021,"dental hygienists",3310,19.86,41300,19.84,41260,1999,"North Carolina",7949361
"122","38","ND",1020,"dentists",250,50.78,105630,42.17,87710,1999,"North Dakota",644259
"123","38","ND",1062,"family and general practitioners",290,54.92,114240,58.3,121260,1999,"North Dakota",644259
"124","38","ND",1141,"registered nurses",6520,18.07,37580,17.72,36850,1999,"North Dakota",644259
"125","38","ND",2021,"dental hygienists",250,18.98,39480,19.13,39790,1999,"North Dakota",644259
"126","39","OH",1062,"family and general practitioners",6850,49.78,103550,55.93,116330,1999,"Ohio",11335454
"127","39","OH",1141,"registered nurses",109180,19.69,40950,19.14,39820,1999,"Ohio",11335454
"128","39","OH",2021,"dental hygienists",5070,21.72,45180,22.03,45830,1999,"Ohio",11335454
"129","40","OK",1062,"family and general practitioners",2370,57.25,119080,65.57,136380,1999,"Oklahoma",3437147
"130","40","OK",1141,"registered nurses",21330,18.76,39020,18.02,37490,1999,"Oklahoma",3437147
"131","40","OK",2021,"dental hygienists",960,22.7,47220,22.91,47660,1999,"Oklahoma",3437147
"132","41","OR",1020,"dentists",870,60.3,125430,NA,NA,1999,"Oregon",3393941
"133","41","OR",1062,"family and general practitioners",1170,50.77,105610,50.74,105540,1999,"Oregon",3393941
"134","41","OR",1141,"registered nurses",22200,22.45,46690,21.64,45010,1999,"Oregon",3393941
"135","41","OR",2021,"dental hygienists",2330,29.72,61830,32.57,67740,1999,"Oregon",3393941
"136","42","PA",1020,"dentists",2680,48.51,100890,50.24,104490,1999,"Pennsylvania",12263805
"137","42","PA",1062,"family and general practitioners",5730,48.73,101350,54.69,113760,1999,"Pennsylvania",12263805
"138","42","PA",1141,"registered nurses",110660,20.92,43510,20.04,41690,1999,"Pennsylvania",12263805
"139","42","PA",2021,"dental hygienists",3290,19.01,39540,18.97,39460,1999,"Pennsylvania",12263805
"140","44","RI",1020,"dentists",260,55.87,116210,60.6,126050,1999,"Rhode Island",1040402
"141","44","RI",1062,"family and general practitioners",650,47.47,98740,45.4,94430,1999,"Rhode Island",1040402
"142","44","RI",1141,"registered nurses",11290,23.1,48040,22.22,46220,1999,"Rhode Island",1040402
"143","44","RI",2021,"dental hygienists",NA,25.38,52780,24.61,51180,1999,"Rhode Island",1040402
"144","45","SC",1020,"dentists",860,66.38,138070,NA,NA,1999,"South Carolina",3974682
"145","45","SC",1062,"family and general practitioners",970,57.55,119700,65.68,136620,1999,"South Carolina",3974682
"146","45","SC",1141,"registered nurses",24390,20.41,42460,19.32,40190,1999,"South Carolina",3974682
"147","45","SC",2021,"dental hygienists",1310,17.47,36330,17.65,36710,1999,"South Carolina",3974682
"148","46","SD",1020,"dentists",150,58.11,120870,NA,NA,1999,"South Dakota",750412
"149","46","SD",1141,"registered nurses",8000,17.89,37210,17.26,35890,1999,"South Dakota",750412
"150","46","SD",2021,"dental hygienists",NA,18.14,37740,17.98,37400,1999,"South Dakota",750412
"151","47","TN",1020,"dentists",600,60.55,125940,NA,NA,1999,"Tennessee",5638706
"152","47","TN",1062,"family and general practitioners",1670,57.87,120370,67.39,140180,1999,"Tennessee",5638706
"153","47","TN",1141,"registered nurses",50070,18.78,39060,18.05,37550,1999,"Tennessee",5638706
"154","47","TN",2021,"dental hygienists",930,18.84,39190,18.58,38660,1999,"Tennessee",5638706
"155","48","TX",1020,"dentists",NA,41.7,86740,44.51,92590,1999,"Texas",20558220
"156","48","TX",1062,"family and general practitioners",5680,49.53,103030,56.68,117890,1999,"Texas",20558220
"157","48","TX",1141,"registered nurses",138690,20.49,42620,19.48,40520,1999,"Texas",20558220
"158","48","TX",2021,"dental hygienists",NA,22.43,46640,21.4,44500,1999,"Texas",20558220
"159","49","UT",1020,"dentists",100,45.26,94150,42.7,88820,1999,"Utah",2203482
"160","49","UT",1062,"family and general practitioners",730,49.04,102010,50.87,105800,1999,"Utah",2203482
"161","49","UT",1141,"registered nurses",14370,20.41,42460,19.87,41340,1999,"Utah",2203482
"162","49","UT",2021,"dental hygienists",NA,27.4,57000,28.68,59660,1999,"Utah",2203482
"163","50","VT",1062,"family and general practitioners",140,51.92,107990,53.38,111030,1999,"Vermont",604683
"164","50","VT",1141,"registered nurses",4450,19.81,41200,18.96,39440,1999,"Vermont",604683
"165","50","VT",2021,"dental hygienists",510,19.67,40910,20.26,42140,1999,"Vermont",604683
"166","51","VA",1020,"dentists",2560,64.74,134660,NA,NA,1999,"Virginia",7000174
"167","51","VA",1062,"family and general practitioners",2580,49.17,102270,51.73,107600,1999,"Virginia",7000174
"168","51","VA",1141,"registered nurses",45430,19.86,41310,19.1,39730,1999,"Virginia",7000174
"169","51","VA",2021,"dental hygienists",3020,26.96,56080,25.33,52680,1999,"Virginia",7000174
"170","53","WA",1020,"dentists",790,63.47,132010,NA,NA,1999,"Washington",5842564
"171","53","WA",1062,"family and general practitioners",4430,52.35,108900,55.38,115180,1999,"Washington",5842564
"172","53","WA",1141,"registered nurses",35160,23.43,48740,22.67,47150,1999,"Washington",5842564
"173","53","WA",2021,"dental hygienists",3600,31.67,65870,35.08,72970,1999,"Washington",5842564
"174","54","WV",1020,"dentists",330,51.69,107510,46.54,96800,1999,"West Virginia",1811799
"175","54","WV",1062,"family and general practitioners",1060,58.72,122130,65.44,136120,1999,"West Virginia",1811799
"176","54","WV",1141,"registered nurses",17160,17.92,37270,16.86,35070,1999,"West Virginia",1811799
"177","54","WV",2021,"dental hygienists",460,15.43,32090,16.06,33400,1999,"West Virginia",1811799
"178","55","WI",1020,"dentists",2670,43.31,90080,44.73,93030,1999,"Wisconsin",5332666
"179","55","WI",1062,"family and general practitioners",1700,63.02,131070,NA,NA,1999,"Wisconsin",5332666
"180","55","WI",1141,"registered nurses",46020,19.74,41060,19.03,39580,1999,"Wisconsin",5332666
"181","55","WI",2021,"dental hygienists",1720,19.52,40600,20.69,43040,1999,"Wisconsin",5332666
"182","56","WY",1020,"dentists",60,42.34,88070,38.97,81060,1999,"Wyoming",491780
"183","56","WY",1062,"family and general practitioners",140,50.65,105350,51.25,106610,1999,"Wyoming",491780
"184","56","WY",1141,"registered nurses",3460,17.06,35480,16.93,35210,1999,"Wyoming",491780
"185","56","WY",2021,"dental hygienists",60,21.08,43850,20.62,42900,1999,"Wyoming",491780
"186","01","AL",1020,"dentists",780,52.8,109830,56.83,118200,2000,"Alabama",4452173
"187","01","AL",1062,"family and general practitioners",1400,53.71,111720,53.57,111420,2000,"Alabama",4452173
"188","01","AL",1141,"registered nurses",31240,20.09,41790,19.6,40770,2000,"Alabama",4452173
"189","01","AL",2021,"dental hygienists",2510,14.39,29940,14.73,30640,2000,"Alabama",4452173
"190","02","AK",1020,"dentists",140,62.71,130430,NA,NA,2000,"Alaska",627963
"191","02","AK",1062,"family and general practitioners",210,58.15,120960,62.37,129730,2000,"Alaska",627963
"192","02","AK",1141,"registered nurses",4620,25.08,52170,24.9,51800,2000,"Alaska",627963
"193","02","AK",2021,"dental hygienists",470,38.17,79400,39.12,81370,2000,"Alaska",627963
"194","04","AZ",1020,"dentists",1200,54.46,113280,56,116480,2000,"Arizona",5160586
"195","04","AZ",1062,"family and general practitioners",1930,55.48,115410,63.31,131680,2000,"Arizona",5160586
"196","04","AZ",1141,"registered nurses",28680,22.63,47070,21.97,45700,2000,"Arizona",5160586
"197","04","AZ",2021,"dental hygienists",2960,24.01,49940,24.51,50990,2000,"Arizona",5160586
"198","05","AR",1020,"dentists",560,53.96,112240,58.59,121870,2000,"Arkansas",2678588
"199","05","AR",1062,"family and general practitioners",800,55.96,116400,58.14,120940,2000,"Arkansas",2678588
"200","05","AR",1141,"registered nurses",17610,18.64,38770,18.02,37470,2000,"Arkansas",2678588
"201","05","AR",2021,"dental hygienists",1190,22.4,46590,23.46,48790,2000,"Arkansas",2678588
"202","06","CA",1020,"dentists",11280,60,124800,NA,NA,2000,"California",33987977
"203","06","CA",1062,"family and general practitioners",13750,37.03,77020,38.11,79280,2000,"California",33987977
"204","06","CA",1141,"registered nurses",203390,26.99,56140,26.5,55120,2000,"California",33987977
"205","06","CA",2021,"dental hygienists",19880,30.38,63190,32.75,68120,2000,"California",33987977
"206","08","CO",1020,"dentists",1320,60.67,126190,64.9,134980,2000,"Colorado",4326921
"207","08","CO",1062,"family and general practitioners",750,48.99,101900,51.43,106970,2000,"Colorado",4326921
"208","08","CO",1141,"registered nurses",30300,21.9,45550,21.77,45280,2000,"Colorado",4326921
"209","08","CO",2021,"dental hygienists",2290,24.76,51500,27.54,57280,2000,"Colorado",4326921
"210","09","CT",1020,"dentists",1430,55.38,115190,63.75,132590,2000,"Connecticut",3411777
"211","09","CT",1062,"family and general practitioners",1270,54.29,112910,53.84,111980,2000,"Connecticut",3411777
"212","09","CT",1141,"registered nurses",30860,24.65,51270,24.45,50860,2000,"Connecticut",3411777
"213","09","CT",2021,"dental hygienists",3260,26.69,55520,27.41,57000,2000,"Connecticut",3411777
"214","10","DE",1020,"dentists",230,55.74,115950,NA,NA,2000,"Delaware",786373
"215","10","DE",1062,"family and general practitioners",790,42.71,88830,37.76,78540,2000,"Delaware",786373
"216","10","DE",1141,"registered nurses",6600,24.86,51710,24.34,50630,2000,"Delaware",786373
"217","10","DE",2021,"dental hygienists",470,24.57,51100,26.83,55810,2000,"Delaware",786373
"218","11","DC",1020,"dentists",270,53.4,111060,54.08,112490,2000,"District of Columbia",572046
"219","11","DC",1062,"family and general practitioners",1060,50.7,105450,52.24,108650,2000,"District of Columbia",572046
"220","11","DC",1141,"registered nurses",8770,24.36,50670,24.06,50040,2000,"District of Columbia",572046
"221","11","DC",2021,"dental hygienists",NA,24.92,51830,30.14,62700,2000,"District of Columbia",572046
"222","12","FL",1020,"dentists",4640,53.15,110550,61.87,128690,2000,"Florida",16047515
"223","12","FL",1062,"family and general practitioners",8770,55.97,116410,62.64,130280,2000,"Florida",16047515
"224","12","FL",1141,"registered nurses",149060,21.04,43770,20.32,42280,2000,"Florida",16047515
"225","12","FL",2021,"dental hygienists",5970,26.44,54990,23.43,48730,2000,"Florida",16047515
"226","13","GA",1020,"dentists",1780,47.25,98290,41.74,86810,2000,"Georgia",8227303
"227","13","GA",1062,"family and general practitioners",3560,57.28,119130,65.11,135420,2000,"Georgia",8227303
"228","13","GA",1141,"registered nurses",49370,21.38,44460,20.48,42590,2000,"Georgia",8227303
"229","13","GA",2021,"dental hygienists",4760,22.58,46970,23.75,49400,2000,"Georgia",8227303
"230","15","HI",1020,"dentists",NA,53.33,110920,51.61,107350,2000,"Hawaii",1213519
"231","15","HI",1062,"family and general practitioners",420,56.3,117110,64.53,134230,2000,"Hawaii",1213519
"232","15","HI",1141,"registered nurses",7740,26.46,55040,26.58,55290,2000,"Hawaii",1213519
"233","15","HI",2021,"dental hygienists",840,20.54,42720,22.05,45870,2000,"Hawaii",1213519
"234","16","ID",1062,"family and general practitioners",700,45.76,95180,48.86,101620,2000,"Idaho",1299430
"235","16","ID",1141,"registered nurses",9670,21,43680,20.1,41800,2000,"Idaho",1299430
"236","16","ID",2021,"dental hygienists",1110,25.38,52780,27.58,57360,2000,"Idaho",1299430
"237","17","IL",1020,"dentists",3790,50.21,104440,57.75,120110,2000,"Illinois",12434161
"238","17","IL",1062,"family and general practitioners",5180,46.26,96230,49.05,102020,2000,"Illinois",12434161
"239","17","IL",1141,"registered nurses",103320,21.79,45320,21.56,44850,2000,"Illinois",12434161
"240","17","IL",2021,"dental hygienists",7300,24.01,49950,25.4,52830,2000,"Illinois",12434161
"241","18","IN",1020,"dentists",1770,50.17,104360,52.33,108850,2000,"Indiana",6091866
"242","18","IN",1062,"family and general practitioners",2270,59.59,123940,65.69,136640,2000,"Indiana",6091866
"243","18","IN",1141,"registered nurses",47900,19.95,41490,19.67,40910,2000,"Indiana",6091866
"244","18","IN",2021,"dental hygienists",3410,22.53,46870,22.4,46580,2000,"Indiana",6091866
"245","19","IA",1020,"dentists",970,63.06,131160,NA,NA,2000,"Iowa",2929067
"246","19","IA",1062,"family and general practitioners",1640,55.9,116280,NA,NA,2000,"Iowa",2929067
"247","19","IA",1141,"registered nurses",26060,17.98,37410,17.46,36310,2000,"Iowa",2929067
"248","19","IA",2021,"dental hygienists",1490,20.95,43570,21.98,45710,2000,"Iowa",2929067
"249","20","KS",1020,"dentists",430,46.78,97310,44.44,92430,2000,"Kansas",2693681
"250","20","KS",1062,"family and general practitioners",730,57.37,119320,NA,NA,2000,"Kansas",2693681
"251","20","KS",1141,"registered nurses",21340,18.59,38670,17.84,37100,2000,"Kansas",2693681
"252","20","KS",2021,"dental hygienists",2020,23.42,48720,23.64,49180,2000,"Kansas",2693681
"253","21","KY",1020,"dentists",830,49.44,102840,50.86,105780,2000,"Kentucky",4049021
"254","21","KY",1062,"family and general practitioners",820,58.6,121890,65.85,136980,2000,"Kentucky",4049021
"255","21","KY",1141,"registered nurses",34140,19.58,40720,18.97,39450,2000,"Kentucky",4049021
"256","21","KY",2021,"dental hygienists",980,22.59,46980,22.73,47280,2000,"Kentucky",4049021
"257","22","LA",1020,"dentists",NA,52.29,108750,NA,NA,2000,"Louisiana",4471885
"258","22","LA",1062,"family and general practitioners",1710,53.22,110690,61.35,127620,2000,"Louisiana",4471885
"259","22","LA",1141,"registered nurses",34340,20.62,42890,20.04,41690,2000,"Louisiana",4471885
"260","22","LA",2021,"dental hygienists",1420,21.99,45740,23.47,48830,2000,"Louisiana",4471885
"261","23","ME",1020,"dentists",550,45.4,94430,34.08,70890,2000,"Maine",1277072
"262","23","ME",1062,"family and general practitioners",680,53.62,111530,53.89,112100,2000,"Maine",1277072
"263","23","ME",1141,"registered nurses",11430,20.31,42240,19.83,41240,2000,"Maine",1277072
"264","23","ME",2021,"dental hygienists",820,20.15,41900,20.05,41700,2000,"Maine",1277072
"265","24","MD",1020,"dentists",2560,49.49,102930,43.95,91420,2000,"Maryland",5311034
"266","24","MD",1062,"family and general practitioners",7380,45.22,94070,48.59,101070,2000,"Maryland",5311034
"267","24","MD",1141,"registered nurses",43610,26.74,55610,27.14,56440,2000,"Maryland",5311034
"268","24","MD",2021,"dental hygienists",2680,23.76,49430,24.03,49990,2000,"Maryland",5311034
"269","25","MA",1020,"dentists",2990,51.61,107340,59.45,123650,2000,"Massachusetts",6361104
"270","25","MA",1062,"family and general practitioners",3870,55.13,114660,66.28,137870,2000,"Massachusetts",6361104
"271","25","MA",1141,"registered nurses",76470,24.02,49970,23.75,49400,2000,"Massachusetts",6361104
"272","25","MA",2021,"dental hygienists",3800,26.82,55780,28.16,58570,2000,"Massachusetts",6361104
"273","26","MI",1020,"dentists",4330,58.25,121170,62.65,130300,2000,"Michigan",9952450
"274","26","MI",1062,"family and general practitioners",8290,56.96,118480,59.12,122970,2000,"Michigan",9952450
"275","26","MI",1141,"registered nurses",78250,22.78,47380,22.61,47020,2000,"Michigan",9952450
"276","26","MI",2021,"dental hygienists",6660,21.9,45550,22.96,47750,2000,"Michigan",9952450
"277","27","MN",1020,"dentists",1710,55.19,114790,59.13,122990,2000,"Minnesota",4933692
"278","27","MN",1062,"family and general practitioners",2300,57.94,120520,64.74,134660,2000,"Minnesota",4933692
"279","27","MN",1141,"registered nurses",46630,23.69,49270,23.37,48610,2000,"Minnesota",4933692
"280","27","MN",2021,"dental hygienists",3410,25.59,53230,25.53,53110,2000,"Minnesota",4933692
"281","28","MS",1020,"dentists",NA,50.04,104080,49.02,101970,2000,"Mississippi",2848353
"282","28","MS",1062,"family and general practitioners",1080,47.23,98230,47.7,99210,2000,"Mississippi",2848353
"283","28","MS",1141,"registered nurses",21970,19.62,40810,18.77,39040,2000,"Mississippi",2848353
"284","28","MS",2021,"dental hygienists",810,14.85,30880,13.01,27060,2000,"Mississippi",2848353
"285","29","MO",1020,"dentists",1610,53.29,110850,58.93,122560,2000,"Missouri",5607285
"286","29","MO",1062,"family and general practitioners",2610,54.65,113670,62.51,130020,2000,"Missouri",5607285
"287","29","MO",1141,"registered nurses",49160,20.07,41740,19.37,40280,2000,"Missouri",5607285
"288","29","MO",2021,"dental hygienists",1860,25.38,52790,26.71,55560,2000,"Missouri",5607285
