"","st","job_type","occ_code","tot_employment","annual_mean_income","year","State","Est_Population"
"62","KY","Dental Hygienists",2021,0,NA,1999,"Kentucky",4018053
"63","KY","Nurses",1141,34600,40180,1999,"Kentucky",4018053
"64","KY","Physicians and Surgeons, All",1060,5050,134892.03960396,1999,"Kentucky",4018053
"65","LA","Dental Hygienists",2021,690,43460,1999,"Louisiana",4460811
"66","LA","Dentists, All",1020,710,77700,1999,"Louisiana",4460811
"67","LA","Nurses",1141,37450,42150,1999,"Louisiana",4460811
"68","LA","Physicians and Surgeons, All",1060,1000,113656,1999,"Louisiana",4460811
"69","MA","Dental Hygienists",2021,1450,49710,1999,"Massachusetts",6317345
"70","MA","Dentists, All",1020,710,117480,1999,"Massachusetts",6317345
"71","MA","Nurses",1141,77180,49200,1999,"Massachusetts",6317345
"72","MA","Physicians and Surgeons, All",1060,5460,100240.256410256,1999,"Massachusetts",6317345
"73","MD","Dental Hygienists",2021,3600,49560,1999,"Maryland",5254509
"74","MD","Dentists, All",1020,2370,108660,1999,"Maryland",5254509
"75","MD","Nurses",1141,45910,48960,1999,"Maryland",5254509
"76","MD","Physicians and Surgeons, All",1060,10210,85069.1968658178,1999,"Maryland",5254509
"77","ME","Dental Hygienists",2021,0,NA,1999,"Maine",1266808
"78","ME","Nurses",1141,12440,40480,1999,"Maine",1266808
"79","ME","Physicians and Surgeons, All",1060,1140,117991.49122807,1999,"Maine",1266808
"80","MI","Dental Hygienists",2021,0,NA,1999,"Michigan",9897116
"81","MI","Dentists, All",1020,2870,125190,1999,"Michigan",9897116
"82","MI","Nurses",1141,82200,45500,1999,"Michigan",9897116
"83","MI","Physicians and Surgeons, All",1060,11510,129689.383145091,1999,"Michigan",9897116
"84","MN","Dental Hygienists",2021,4380,51560,1999,"Minnesota",4873481
"85","MN","Dentists, All",1020,1810,118950,1999,"Minnesota",4873481
"86","MN","Nurses",1141,44540,48650,1999,"Minnesota",4873481
"87","MN","Physicians and Surgeons, All",1060,3840,117169.635416667,1999,"Minnesota",4873481
"88","MO","Dental Hygienists",2021,930,41230,1999,"Missouri",5561948
"89","MO","Nurses",1141,53250,39360,1999,"Missouri",5561948
"90","MO","Physicians and Surgeons, All",1060,7010,113095.007132668,1999,"Missouri",5561948
"91","MS","Dental Hygienists",2021,1060,31340,1999,"Mississippi",2828408
"92","MS","Dentists, All",1020,0,NA,1999,"Mississippi",2828408
"93","MS","Nurses",1141,22510,39940,1999,"Mississippi",2828408
"94","MS","Physicians and Surgeons, All",1060,1820,116747.417582418,1999,"Mississippi",2828408
"95","MT","Dental Hygienists",2021,30,55410,1999,"Montana",897507
"96","MT","Nurses",1141,8070,36640,1999,"Montana",897507
"97","MT","Physicians and Surgeons, All",1060,500,110193.4,1999,"Montana",897507
"98","NC","Dental Hygienists",2021,3310,41300,1999,"North Carolina",7949361
"99","NC","Dentists, All",1020,2680,116070,1999,"North Carolina",7949361
"100","NC","Nurses",1141,56740,40700,1999,"North Carolina",7949361
"101","NC","Physicians and Surgeons, All",1060,7660,121507.72845953,1999,"North Carolina",7949361
"102","ND","Dental Hygienists",2021,250,39480,1999,"North Dakota",644259
"103","ND","Dentists, All",1020,250,105630,1999,"North Dakota",644259
"104","ND","Nurses",1141,6520,37580,1999,"North Dakota",644259
"105","ND","Physicians and Surgeons, All",1060,380,121667.368421053,1999,"North Dakota",644259
"106","NE","Dental Hygienists",2021,820,46130,1999,"Nebraska",1704764
"107","NE","Nurses",1141,15180,37590,1999,"Nebraska",1704764
"108","NE","Physicians and Surgeons, All",1060,1500,129079.733333333,1999,"Nebraska",1704764
"109","NH","Dental Hygienists",2021,1110,47900,1999,"New Hampshire",1222014
"110","NH","Dentists, All",1020,550,105730,1999,"New Hampshire",1222014
"111","NH","Nurses",1141,11990,39290,1999,"New Hampshire",1222014
"112","NH","Physicians and Surgeons, All",1060,640,107703.75,1999,"New Hampshire",1222014
"113","NJ","Dental Hygienists",2021,2010,54770,1999,"New Jersey",8359592
"114","NJ","Dentists, All",1020,0,NA,1999,"New Jersey",8359592
"115","NJ","Nurses",1141,76630,50880,1999,"New Jersey",8359592
"116","NJ","Physicians and Surgeons, All",1060,14780,134674.763193505,1999,"New Jersey",8359592
"117","NM","Dental Hygienists",2021,680,55130,1999,"New Mexico",1808082
"118","NM","Dentists, All",1020,330,110570,1999,"New Mexico",1808082
"119","NM","Nurses",1141,7760,40220,1999,"New Mexico",1808082
"120","NM","Physicians and Surgeons, All",1060,1990,110161.75879397,1999,"New Mexico",1808082
"121","NV","Dental Hygienists",2021,0,NA,1999,"Nevada",1934718
"122","NV","Nurses",1141,9810,47930,1999,"Nevada",1934718
"123","NV","Physicians and Surgeons, All",1060,1020,131855.980392157,1999,"Nevada",1934718
"124","NY","Dental Hygienists",2021,4150,47600,1999,"New York",18882725
"125","NY","Nurses",1141,160460,50470,1999,"New York",18882725
"126","NY","Physicians and Surgeons, All",1060,19540,108579.815762538,1999,"New York",18882725
"127","OH","Dental Hygienists",2021,5070,45180,1999,"Ohio",11335454
"128","OH","Nurses",1141,109180,40950,1999,"Ohio",11335454
"129","OH","Physicians and Surgeons, All",1060,17280,119842.905092593,1999,"Ohio",11335454
"130","OK","Dental Hygienists",2021,960,47220,1999,"Oklahoma",3437147
"131","OK","Nurses",1141,21330,39020,1999,"Oklahoma",3437147
"132","OK","Physicians and Surgeons, All",1060,3140,119630.987261146,1999,"Oklahoma",3437147
"133","OR","Dental Hygienists",2021,2330,61830,1999,"Oregon",3393941
"134","OR","Dentists, All",1020,870,125430,1999,"Oregon",3393941
"135","OR","Nurses",1141,22200,46690,1999,"Oregon",3393941
"136","OR","Physicians and Surgeons, All",1060,1170,105610,1999,"Oregon",3393941
"137","PA","Dental Hygienists",2021,3290,39540,1999,"Pennsylvania",12263805
"138","PA","Dentists, All",1020,2680,100890,1999,"Pennsylvania",12263805
"139","PA","Nurses",1141,110660,43510,1999,"Pennsylvania",12263805
"140","PA","Physicians and Surgeons, All",1060,16160,117983.304455446,1999,"Pennsylvania",12263805
"141","RI","Dental Hygienists",2021,0,NA,1999,"Rhode Island",1040402
"142","RI","Dentists, All",1020,260,116210,1999,"Rhode Island",1040402
"143","RI","Nurses",1141,11290,48040,1999,"Rhode Island",1040402
"144","RI","Physicians and Surgeons, All",1060,990,105654.646464646,1999,"Rhode Island",1040402
"145","SC","Dental Hygienists",2021,1310,36330,1999,"South Carolina",3974682
"146","SC","Dentists, All",1020,860,138070,1999,"South Carolina",3974682
"147","SC","Nurses",1141,24390,42460,1999,"South Carolina",3974682
"148","SC","Physicians and Surgeons, All",1060,2970,127030.37037037,1999,"South Carolina",3974682
"149","SD","Dental Hygienists",2021,0,NA,1999,"South Dakota",750412
"150","SD","Dentists, All",1020,150,120870,1999,"South Dakota",750412
"151","SD","Nurses",1141,8000,37210,1999,"South Dakota",750412
"152","TN","Dental Hygienists",2021,930,39190,1999,"Tennessee",5638706
"153","TN","Dentists, All",1020,600,125940,1999,"Tennessee",5638706
"154","TN","Nurses",1141,50070,39060,1999,"Tennessee",5638706
"155","TN","Physicians and Surgeons, All",1060,6060,130247.574257426,1999,"Tennessee",5638706
"156","TX","Dental Hygienists",2021,0,NA,1999,"Texas",20558220
"157","TX","Dentists, All",1020,0,NA,1999,"Texas",20558220
"158","TX","Nurses",1141,138690,42620,1999,"Texas",20558220
"159","TX","Physicians and Surgeons, All",1060,11960,114210.702341137,1999,"Texas",20558220
"160","UT","Dental Hygienists",2021,0,NA,1999,"Utah",2203482
"161","UT","Dentists, All",1020,100,94150,1999,"Utah",2203482
"162","UT","Nurses",1141,14370,42460,1999,"Utah",2203482
"163","UT","Physicians and Surgeons, All",1060,1640,112231.890243902,1999,"Utah",2203482
"164","VA","Dental Hygienists",2021,3020,56080,1999,"Virginia",7000174
"165","VA","Dentists, All",1020,2560,134660,1999,"Virginia",7000174
"166","VA","Nurses",1141,45430,41310,1999,"Virginia",7000174
"167","VA","Physicians and Surgeons, All",1060,4260,113614.600938967,1999,"Virginia",7000174
"168","VT","Dental Hygienists",2021,510,40910,1999,"Vermont",604683
"169","VT","Nurses",1141,4450,41200,1999,"Vermont",604683
"170","VT","Physicians and Surgeons, All",1060,170,110402.352941176,1999,"Vermont",604683
"171","WA","Dental Hygienists",2021,3600,65870,1999,"Washington",5842564
"172","WA","Dentists, All",1020,790,132010,1999,"Washington",5842564
"173","WA","Nurses",1141,35160,48740,1999,"Washington",5842564
"174","WA","Physicians and Surgeons, All",1060,8990,118982.869855395,1999,"Washington",5842564
"175","WI","Dental Hygienists",2021,1720,40600,1999,"Wisconsin",5332666
"176","WI","Dentists, All",1020,2670,90080,1999,"Wisconsin",5332666
"177","WI","Nurses",1141,46020,41060,1999,"Wisconsin",5332666
"178","WI","Physicians and Surgeons, All",1060,3360,133804.791666667,1999,"Wisconsin",5332666
"179","WV","Dental Hygienists",2021,460,32090,1999,"West Virginia",1811799
"180","WV","Dentists, All",1020,330,107510,1999,"West Virginia",1811799
"181","WV","Nurses",1141,17160,37270,1999,"West Virginia",1811799
"182","WV","Physicians and Surgeons, All",1060,1860,128577.849462366,1999,"West Virginia",1811799
"183","WY","Dental Hygienists",2021,60,43850,1999,"Wyoming",491780
"184","WY","Dentists, All",1020,60,88070,1999,"Wyoming",491780
"185","WY","Nurses",1141,3460,35480,1999,"Wyoming",491780
"186","WY","Physicians and Surgeons, All",1060,460,120007.391304348,1999,"Wyoming",491780
"187","AK","Physicians and Surgeons, Family Practitioner",1062,230,105340,1999,"Alaska",624779
"188","AL","Physicians and Surgeons, Family Practitioner",1062,1080,121470,1999,"Alabama",4430141
"189","AR","Physicians and Surgeons, Family Practitioner",1062,560,109060,1999,"Arkansas",2651860
"190","AZ","Physicians and Surgeons, Family Practitioner",1062,2450,104930,1999,"Arizona",5023823
"191","CA","Physicians and Surgeons, Family Practitioner",1062,15040,78990,1999,"California",33499204
"192","CT","Physicians and Surgeons, Family Practitioner",1062,1230,94330,1999,"Connecticut",3386401
"193","FL","Physicians and Surgeons, Family Practitioner",1062,7790,112840,1999,"Florida",15759421
"194","GA","Physicians and Surgeons, Family Practitioner",1062,0,118230,1999,"Georgia",8045965
"195","HI","Physicians and Surgeons, Family Practitioner",1062,200,81270,1999,"Hawaii",1210300
"196","IA","Physicians and Surgeons, Family Practitioner",1062,1310,96840,1999,"Iowa",2917634
"197","IL","Physicians and Surgeons, Family Practitioner",1062,6860,91700,1999,"Illinois",12359020
"198","IN","Physicians and Surgeons, Family Practitioner",1062,2100,122350,1999,"Indiana",6044969
"199","KS","Physicians and Surgeons, Family Practitioner",1062,910,127200,1999,"Kansas",2678338
"200","KY","Physicians and Surgeons, Family Practitioner",1062,1200,129450,1999,"Kentucky",4018053
"201","LA","Physicians and Surgeons, Family Practitioner",1062,0,104140,1999,"Louisiana",4460811
"202","MA","Physicians and Surgeons, Family Practitioner",1062,3150,83870,1999,"Massachusetts",6317345
"203","MD","Physicians and Surgeons, Family Practitioner",1062,9220,82710,1999,"Maryland",5254509
"204","ME","Physicians and Surgeons, Family Practitioner",1062,640,111220,1999,"Maine",1266808
"205","MI","Physicians and Surgeons, Family Practitioner",1062,6620,130200,1999,"Michigan",9897116
"206","MN","Physicians and Surgeons, Family Practitioner",1062,2660,119330,1999,"Minnesota",4873481
"207","MO","Physicians and Surgeons, Family Practitioner",1062,4030,107230,1999,"Missouri",5561948
"208","MS","Physicians and Surgeons, Family Practitioner",1062,840,96850,1999,"Mississippi",2828408
"209","MT","Physicians and Surgeons, Family Practitioner",1062,470,108220,1999,"Montana",897507
"210","NC","Physicians and Surgeons, Family Practitioner",1062,2580,112090,1999,"North Carolina",7949361
"211","ND","Physicians and Surgeons, Family Practitioner",1062,290,114240,1999,"North Dakota",644259
"212","NE","Physicians and Surgeons, Family Practitioner",1062,810,119000,1999,"Nebraska",1704764
"213","NH","Physicians and Surgeons, Family Practitioner",1062,0,100520,1999,"New Hampshire",1222014
"214","NJ","Physicians and Surgeons, Family Practitioner",1062,8820,133690,1999,"New Jersey",8359592
"215","NM","Physicians and Surgeons, Family Practitioner",1062,1460,111510,1999,"New Mexico",1808082
"216","NV","Physicians and Surgeons, Family Practitioner",1062,370,123020,1999,"Nevada",1934718
"217","NY","Physicians and Surgeons, Family Practitioner",1062,7520,95420,1999,"New York",18882725
"218","OH","Physicians and Surgeons, Family Practitioner",1062,6850,103550,1999,"Ohio",11335454
"219","OK","Physicians and Surgeons, Family Practitioner",1062,2370,119080,1999,"Oklahoma",3437147
"220","OR","Physicians and Surgeons, Family Practitioner",1062,1170,105610,1999,"Oregon",3393941
"221","PA","Physicians and Surgeons, Family Practitioner",1062,5730,101350,1999,"Pennsylvania",12263805
"222","RI","Physicians and Surgeons, Family Practitioner",1062,650,98740,1999,"Rhode Island",1040402
"223","SC","Physicians and Surgeons, Family Practitioner",1062,970,119700,1999,"South Carolina",3974682
"224","TN","Physicians and Surgeons, Family Practitioner",1062,1670,120370,1999,"Tennessee",5638706
"225","TX","Physicians and Surgeons, Family Practitioner",1062,5680,103030,1999,"Texas",20558220
"226","UT","Physicians and Surgeons, Family Practitioner",1062,730,102010,1999,"Utah",2203482
"227","VA","Physicians and Surgeons, Family Practitioner",1062,2580,102270,1999,"Virginia",7000174
"228","VT","Physicians and Surgeons, Family Practitioner",1062,140,107990,1999,"Vermont",604683
"229","WA","Physicians and Surgeons, Family Practitioner",1062,4430,108900,1999,"Washington",5842564
"230","WI","Physicians and Surgeons, Family Practitioner",1062,1700,131070,1999,"Wisconsin",5332666
"231","WV","Physicians and Surgeons, Family Practitioner",1062,1060,122130,1999,"West Virginia",1811799
"232","WY","Physicians and Surgeons, Family Practitioner",1062,140,105350,1999,"Wyoming",491780
"233","AK","Dental Hygienists",2021,470,79400,2000,"Alaska",627963
"234","AK","Dentists, All",1020,140,130430,2000,"Alaska",627963
"235","AK","Nurses",1141,4620,52170,2000,"Alaska",627963
"236","AK","Physicians and Surgeons, All",1060,240,121755,2000,"Alaska",627963
"237","AL","Dental Hygienists",2021,2510,29940,2000,"Alabama",4452173
"238","AL","Dentists, All",1020,780,109830,2000,"Alabama",4452173
"239","AL","Nurses",1141,31240,41790,2000,"Alabama",4452173
"240","AL","Physicians and Surgeons, All",1060,4040,125448.762376238,2000,"Alabama",4452173
"241","AR","Dental Hygienists",2021,1190,46590,2000,"Arkansas",2678588
"242","AR","Dentists, All",1020,560,112240,2000,"Arkansas",2678588
"243","AR","Nurses",1141,17610,38770,2000,"Arkansas",2678588
"244","AR","Physicians and Surgeons, All",1060,1040,122771.538461538,2000,"Arkansas",2678588
"245","AZ","Dental Hygienists",2021,2960,49940,2000,"Arizona",5160586
"246","AZ","Dentists, All",1020,1200,113280,2000,"Arizona",5160586
"247","AZ","Nurses",1141,28680,47070,2000,"Arizona",5160586
"248","AZ","Physicians and Surgeons, All",1060,2240,116768.035714286,2000,"Arizona",5160586
"249","CA","Dental Hygienists",2021,19880,63190,2000,"California",33987977
"250","CA","Dentists, All",1020,11280,124800,2000,"California",33987977
"251","CA","Nurses",1141,203390,56140,2000,"California",33987977
"252","CA","Physicians and Surgeons, All",1060,26480,98940.6155589124,2000,"California",33987977
"253","CO","Dental Hygienists",2021,2290,51500,2000,"Colorado",4326921
"254","CO","Dentists, All",1020,1320,126190,2000,"Colorado",4326921
"255","CO","Nurses",1141,30300,45550,2000,"Colorado",4326921
"256","CO","Physicians and Surgeons, All",1060,2010,123149.651741294,2000,"Colorado",4326921
"257","CT","Dental Hygienists",2021,3260,55520,2000,"Connecticut",3411777
"258","CT","Dentists, All",1020,1430,115190,2000,"Connecticut",3411777
"259","CT","Nurses",1141,30860,51270,2000,"Connecticut",3411777
"260","CT","Physicians and Surgeons, All",1060,5680,128137.86971831,2000,"Connecticut",3411777
"261","DC","Dental Hygienists",2021,0,NA,2000,"District of Columbia",572046
"262","DC","Dentists, All",1020,270,111060,2000,"District of Columbia",572046
"263","DC","Nurses",1141,8770,50670,2000,"District of Columbia",572046
"264","DC","Physicians and Surgeons, All",1060,1060,105450,2000,"District of Columbia",572046
"265","DE","Dental Hygienists",2021,470,51100,2000,"Delaware",786373
"266","DE","Dentists, All",1020,230,115950,2000,"Delaware",786373
"267","DE","Nurses",1141,6600,51710,2000,"Delaware",786373
"268","DE","Physicians and Surgeons, All",1060,1180,90764.3220338983,2000,"Delaware",786373
"269","FL","Dental Hygienists",2021,5970,54990,2000,"Florida",16047515
"270","FL","Dentists, All",1020,4640,110550,2000,"Florida",16047515
"271","FL","Nurses",1141,149060,43770,2000,"Florida",16047515
"272","FL","Physicians and Surgeons, All",1060,20540,124164.498539435,2000,"Florida",16047515
"273","GA","Dental Hygienists",2021,4760,46970,2000,"Georgia",8227303
"274","GA","Dentists, All",1020,1780,98290,2000,"Georgia",8227303
"275","GA","Nurses",1141,49370,44460,2000,"Georgia",8227303
"276","GA","Physicians and Surgeons, All",1060,6750,127738.637037037,2000,"Georgia",8227303
"277","HI","Dental Hygienists",2021,840,42720,2000,"Hawaii",1213519
"278","HI","Dentists, All",1020,0,NA,2000,"Hawaii",1213519
"279","HI","Nurses",1141,7740,55040,2000,"Hawaii",1213519
"280","HI","Physicians and Surgeons, All",1060,1360,94789.9264705882,2000,"Hawaii",1213519
"281","IA","Dental Hygienists",2021,1490,43570,2000,"Iowa",2929067
"282","IA","Dentists, All",1020,970,131160,2000,"Iowa",2929067
"283","IA","Nurses",1141,26060,37410,2000,"Iowa",2929067
"284","IA","Physicians and Surgeons, All",1060,2590,121153.590733591,2000,"Iowa",2929067
"285","ID","Dental Hygienists",2021,1110,52780,2000,"Idaho",1299430
"286","ID","Nurses",1141,9670,43680,2000,"Idaho",1299430
"287","ID","Physicians and Surgeons, All",1060,1060,110188.20754717,2000,"Idaho",1299430
"288","IL","Dental Hygienists",2021,7300,49950,2000,"Illinois",12434161
"289","IL","Dentists, All",1020,3790,104440,2000,"Illinois",12434161
"290","IL","Nurses",1141,103320,45320,2000,"Illinois",12434161
"291","IL","Physicians and Surgeons, All",1060,11200,110273.455357143,2000,"Illinois",12434161
"292","IN","Dental Hygienists",2021,3410,46870,2000,"Indiana",6091866
"293","IN","Dentists, All",1020,1770,104360,2000,"Indiana",6091866
"294","IN","Nurses",1141,47900,41490,2000,"Indiana",6091866
"295","IN","Physicians and Surgeons, All",1060,6790,129945.846833579,2000,"Indiana",6091866
"296","KS","Dental Hygienists",2021,2020,48720,2000,"Kansas",2693681
"297","KS","Dentists, All",1020,430,97310,2000,"Kansas",2693681
"298","KS","Nurses",1141,21340,38670,2000,"Kansas",2693681
"299","KS","Physicians and Surgeons, All",1060,2550,130465.607843137,2000,"Kansas",2693681
"300","KY","Dental Hygienists",2021,980,46980,2000,"Kentucky",4049021
"301","KY","Dentists, All",1020,830,102840,2000,"Kentucky",4049021
"302","KY","Nurses",1141,34140,40720,2000,"Kentucky",4049021
"303","KY","Physicians and Surgeons, All",1060,4470,130840.246085011,2000,"Kentucky",4049021
"304","LA","Dental Hygienists",2021,1420,45740,2000,"Louisiana",4471885
"305","LA","Dentists, All",1020,0,NA,2000,"Louisiana",4471885
"306","LA","Nurses",1141,34340,42890,2000,"Louisiana",4471885
"307","LA","Physicians and Surgeons, All",1060,3120,119074.294871795,2000,"Louisiana",4471885
"308","MA","Dental Hygienists",2021,3800,55780,2000,"Massachusetts",6361104
"309","MA","Dentists, All",1020,2990,107340,2000,"Massachusetts",6361104
"310","MA","Nurses",1141,76470,49970,2000,"Massachusetts",6361104
"311","MA","Physicians and Surgeons, All",1060,10620,121551.177024482,2000,"Massachusetts",6361104
"312","MD","Dental Hygienists",2021,2680,49430,2000,"Maryland",5311034
"313","MD","Dentists, All",1020,2560,102930,2000,"Maryland",5311034
"314","MD","Nurses",1141,43610,55610,2000,"Maryland",5311034
"315","MD","Physicians and Surgeons, All",1060,10980,101722.950819672,2000,"Maryland",5311034
"316","ME","Dental Hygienists",2021,820,41900,2000,"Maine",1277072
"317","ME","Dentists, All",1020,550,94430,2000,"Maine",1277072
"318","ME","Nurses",1141,11430,42240,2000,"Maine",1277072
"319","ME","Physicians and Surgeons, All",1060,1720,119302.093023256,2000,"Maine",1277072
"320","MI","Dental Hygienists",2021,6660,45550,2000,"Michigan",9952450
"321","MI","Dentists, All",1020,4330,121170,2000,"Michigan",9952450
"322","MI","Nurses",1141,78250,47380,2000,"Michigan",9952450
"323","MI","Physicians and Surgeons, All",1060,14340,124666.631799163,2000,"Michigan",9952450
"324","MN","Dental Hygienists",2021,3410,53230,2000,"Minnesota",4933692
"325","MN","Dentists, All",1020,1710,114790,2000,"Minnesota",4933692
"326","MN","Nurses",1141,46630,49270,2000,"Minnesota",4933692
"327","MN","Physicians and Surgeons, All",1060,5220,123065.708812261,2000,"Minnesota",4933692
"328","MO","Dental Hygienists",2021,1860,52790,2000,"Missouri",5607285
"329","MO","Dentists, All",1020,1610,110850,2000,"Missouri",5607285
"330","MO","Nurses",1141,49160,41740,2000,"Missouri",5607285
"331","MO","Physicians and Surgeons, All",1060,7640,124215.890052356,2000,"Missouri",5607285
"332","MS","Dental Hygienists",2021,810,30880,2000,"Mississippi",2848353
"333","MS","Dentists, All",1020,0,NA,2000,"Mississippi",2848353
"334","MS","Nurses",1141,21970,40810,2000,"Mississippi",2848353
"335","MS","Physicians and Surgeons, All",1060,2380,114798.991596639,2000,"Mississippi",2848353
"336","MT","Dental Hygienists",2021,690,49450,2000,"Montana",903773
"337","MT","Dentists, All",1020,250,53350,2000,"Montana",903773
"338","MT","Nurses",1141,7490,37740,2000,"Montana",903773
"339","MT","Physicians and Surgeons, All",1060,620,130361.612903226,2000,"Montana",903773
"340","NC","Dental Hygienists",2021,4940,44850,2000,"North Carolina",8081614
"341","NC","Dentists, All",1020,3240,96620,2000,"North Carolina",8081614
"342","NC","Nurses",1141,60940,43250,2000,"North Carolina",8081614
"343","NC","Physicians and Surgeons, All",1060,9810,121850.948012232,2000,"North Carolina",8081614
"344","ND","Dental Hygienists",2021,400,47310,2000,"North Dakota",642023
"345","ND","Dentists, All",1020,0,NA,2000,"North Dakota",642023
"346","ND","Nurses",1141,6550,40760,2000,"North Dakota",642023
"347","ND","Physicians and Surgeons, All",1060,510,124154.705882353,2000,"North Dakota",642023
"348","NE","Dental Hygienists",2021,720,47910,2000,"Nebraska",1713820
"349","NE","Dentists, All",1020,540,114960,2000,"Nebraska",1713820
"350","NE","Nurses",1141,15660,38750,2000,"Nebraska",1713820
"351","NE","Physicians and Surgeons, All",1060,1400,123343.142857143,2000,"Nebraska",1713820
"352","NH","Dental Hygienists",2021,690,53160,2000,"New Hampshire",1239882
"353","NH","Dentists, All",1020,760,84640,2000,"New Hampshire",1239882
"354","NH","Nurses",1141,11370,42240,2000,"New Hampshire",1239882
"355","NH","Physicians and Surgeons, All",1060,1340,124639.104477612,2000,"New Hampshire",1239882
"356","NJ","Dental Hygienists",2021,3950,54730,2000,"New Jersey",8430621
"357","NJ","Dentists, All",1020,3790,121200,2000,"New Jersey",8430621
"358","NJ","Nurses",1141,72620,50950,2000,"New Jersey",8430621
"359","NJ","Physicians and Surgeons, All",1060,10040,128418.725099602,2000,"New Jersey",8430621
"360","NM","Dental Hygienists",2021,560,53590,2000,"New Mexico",1821204
